Load,NDV,Solar,Wind
10169.79,8686.79,0,1483
9969.43,8568.43,0,1401
9991.5,8669.5,0,1322
9947.12,8763.12,0,1184
9959.74,8867.74,0,1092
9975.28,8931.28,0,1044
10115.47,9037.47,0,1078
10333.41,9259.41,0,1074
10458.23,9392.23,30,1036
10520.55,9144.55,376,1000
10673.14,9049.14,636,988
10514.02,9000.02,625,889
10493.51,9103.51,591,799
10500.15,9162.15,629,709
10382.55,8984.55,687,711
10386.53,9032.53,598,756
10520.87,9565.87,124,831
10813.83,9959.83,0,854
10876.56,9917.56,0,959
10854.49,9843.49,0,1011
10679.48,9621.48,0,1058
10509.87,9408.87,0,1101
10395.02,9302.02,0,1093
10125.62,9082.62,0,1043
9929.32,8938.32,0,991
9752.5,8725.5,0,1027
9690.72,8591.72,0,1099
9635.84,8558.84,0,1077
9637.69,8639.69,0,998
9647,8692,0,955
9756.22,8888.22,0,868
9877.65,9066.65,0,811
10023.75,9212.75,32,779
10151.74,9409.74,195,547
10293.62,9675.62,340,278
10299.65,9777.65,390,132
10283.1,9732.1,417,134
10178.05,9619.05,361,198
10292.85,9785.85,271,236
10176.82,9701.82,183,292
10229.08,9881.08,70,278
10534.55,10315.55,0,219
10601.42,10358.42,0,243
10499.88,10231.88,0,268
10377.61,10130.61,0,247
10214.09,9975.09,0,239
10124.55,9810.55,0,314
9900.59,9551.59,0,349
9689.02,9309.02,0,380
9514.09,9182.09,0,332
9396.9,9034.9,0,362
9371.37,8952.37,0,419
9351.99,9029.99,0,322
9424.62,9170.62,0,254
9452.04,9251.04,0,201
9669.63,9457.63,0,212
9789.9,9590.9,8,191
9952.43,9415.43,227,310
10103.27,9149.27,524,430
10234.43,9053.43,586,595
10230.58,9087.58,513,630
10271.09,9244.09,381,646
10218.19,8940.19,640,638
10266.76,9062.76,530,674
10331.3,9497.3,174,660
10604,9902,0,702
10701.63,10067.63,0,634
10567.95,9867.95,0,700
10467.23,9609.23,0,858
10350.46,9240.46,0,1110
10139.23,8783.23,0,1356
9849.62,8293.62,0,1556
9620.16,8078.16,0,1542
9505.62,8121.62,0,1384
9446.67,8087.67,0,1359
9461.29,8136.29,0,1325
9480.96,8241.96,0,1239
9597.56,8283.56,0,1314
9829.27,8455.27,0,1374
10254.69,8833.69,0,1421
10538.61,9284.61,8,1246
10617.87,8883.87,355,1379
10715.7,8787.7,661,1267
10670.62,8685.62,659,1326
10700.86,8912.86,619,1169
10604.07,8910.07,622,1072
10686.23,9067.23,723,896
10633.57,9361.57,586,686
10671.12,9921.12,162,588
10862.87,10341.87,0,521
10882.67,10484.67,0,398
10715.22,10367.22,0,348
10526.44,10222.44,0,304
10312.51,10066.51,0,246
10194.49,9996.49,0,198
9883.78,9737.78,0,146
9659.42,9479.42,0,180
9453.99,9199.99,0,254
9395.06,9034.06,0,361
9393.14,8995.14,0,398
9402.85,8877.85,0,525
9474.55,8709.55,0,765
9706.26,8860.26,0,846
10198.05,9166.05,0,1032
10481.34,9382.34,8,1091
10512.86,9316.86,98,1098
10565.82,8937.82,517,1111
10574.04,8914.04,488,1172
10419.88,9044.88,331,1044
10409.75,8939.75,373,1097
10515.71,8245.71,638,1632
10509.95,8419.95,430,1660
10517.11,8797.11,128,1592
10868.47,9409.47,0,1459
10898.65,9371.65,0,1527
10725.98,9265.98,0,1460
10568.28,9125.28,0,1443
10412.03,9002.03,0,1410
10106.49,8752.49,0,1354
9837.71,8585.71,0,1252
9490.57,8431.57,0,1059
9406.41,8670.41,0,736
9246.44,8778.44,0,468
9221.51,8725.51,0,496
9265.81,8726.81,0,539
9404.04,8787.04,0,617
9705.09,8819.09,0,886
10214.52,9337.52,0,877
10550.39,9342.39,0,1208
10612.77,9299.77,89,1224
10736.74,9317.74,176,1243
10755.14,9324.14,282,1149
10795.26,9145.26,309,1341
10720.79,8907.79,302,1511
10730.05,8828.05,267,1635
10810.14,9251.14,109,1450
10852.01,9378.01,42,1432
11121.45,9632.45,0,1489
11128.86,9772.86,0,1356
11067.08,9368.08,0,1699
10959.19,9412.19,0,1547
10838.59,9474.59,0,1364
10566.55,9202.55,0,1364
10245.97,8878.97,0,1367
10015.3,8707.3,0,1308
9861.09,8509.09,0,1352
9830.65,8615.65,0,1215
9856.07,8552.07,0,1304
9918.51,8672.51,0,1246
9988.37,8769.37,0,1219
10270.54,9140.54,0,1130
10686.08,9672.08,0,1014
11006.23,10114.23,8,884
10945.2,9946.2,295,704
10976.39,9627.39,532,817
11046.77,10051.77,546,449
10928.5,10187.5,502,239
10857.97,10159.97,550,148
10904.14,10126.14,650,128
10931.65,10199.65,539,193
10884.95,10385.95,129,370
11187.34,10724.34,0,463
11178.32,10503.32,0,675
11062.5,10264.5,0,798
11020.03,9974.03,0,1046
10878.52,9727.52,0,1151
10687.41,9153.41,0,1534
10303.98,8709.98,0,1594
10124.98,8353.98,0,1771
10082.5,8290.5,0,1792
9957.01,8147.01,0,1810
9928.47,8163.47,0,1765
9930.32,8246.32,0,1684
9988.61,8250.61,0,1738
10276.06,8288.06,0,1988
10712.35,8743.35,0,1969
10924.62,8978.62,7,1939
11000.41,8855.41,321,1824
10983.25,8576.25,652,1755
10980.65,8845.65,667,1468
10935.27,8928.27,613,1394
10813.8,8819.8,631,1363
10739.68,8792.68,701,1246
10665.03,9429.03,210,1026
10722.75,9727.75,61,934
10945.43,10027.43,0,918
10834.97,9876.97,0,958
10813.65,9762.65,0,1051
10797.54,9675.54,0,1122
10598.33,9405.33,0,1193
10324.28,9368.28,0,956
10106.61,9308.61,0,798
9773.64,8925.64,0,848
9714.95,8873.95,0,841
9695.48,8609.48,0,1086
9607.8,8419.8,0,1188
9614.13,8104.13,0,1510
9694.8,7923.8,0,1771
9825.03,7968.03,0,1857
10003.76,7992.76,0,2011
10222.05,8187.05,8,2027
10283.03,8064.03,327,1892
10379.97,7917.97,588,1874
10508.91,8058.91,647,1803
10462.04,8038.04,599,1825
10387.05,8047.05,555,1785
10306.67,7995.67,515,1796
10314.94,7946.94,419,1949
10351.63,8201.63,101,2049
10716.02,8749.02,0,1967
10842.29,8894.29,0,1948
10666.2,8777.2,0,1889
10500.55,8635.55,0,1865
10407.96,8573.96,0,1834
10233.79,8431.79,0,1802
10015.06,8400.06,0,1615
9773.75,8154.75,0,1619
